title,price,url
全新苹果 iPhone 15 手机 128G,5399,https://example.com/item/iphone15
苹果 iPhone 13 二手 95新,3299,https://example.com/item/iphone13
华为 Mate 60 Pro 12+256 二手,5899,https://example.com/item/mate60pro
小米 13 手机 国行,2699,https://example.com/item/xiaomi13
Switch 任天堂 游戏机 OLED 版,1899,https://example.com/item/switch
戴森 V12 吸尘器 全套,2499,https://example.com/item/dysonv12
索尼 PS5 光驱版 游戏主机,3299,https://example.com/item/ps5
佳能 EOS R10 微单相机,3399,https://example.com/item/eosr10
苹果 iPad Air 5 平板电脑,3999,https://example.com/item/ipadair5
华为 WATCH 4 Pro 智能手表,1999,https://example.com/item/watch4pro
ThinkPad X1 Carbon 笔记本电脑,5999,https://example.com/item/x1carbon
戴尔 27寸 4K 显示器,1699,https://example.com/item/dell4k
大疆 DJI Mini 3 无人机,2899,https://example.com/item/dji-mini3
罗技 G Pro X 游戏耳机,699,https://example.com/item/gprox
Apple Watch S9 智能手表,2599,https://example.com/item/aw-s9
索尼 WH-1000XM5 头戴耳机,1899,https://example.com/item/xm5
华硕 ROG 游戏本 16G+1T,6999,https://example.com/item/rog-laptop
联想 拯救者 Y7000 笔记本,4599,https://example.com/item/y7000
尼康 Z50 微单套机,3499,https://example.com/item/z50
苹果 AirPods Pro 2 无线耳机,1599,https://example.com/item/airpodspro2